City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Itaituba,BR,2022-04-27 06:05:43,-4.2761,-55.9836,74.08,94,100,1.36
97,Kisangani,CD,2022-04-27 06:05:43,0.5167,25.2,72.61,92,100,1.92
98,Estelle,US,2022-04-27 06:05:44,29.8458,-90.1067,71.01,63,0,5.99
99,Carmen,MX,2022-04-27 06:01:31,18.6333,-91.8333,80.46,78,76,16.58
100,Alofi,NU,2022-04-27 06:05:44,-19.0595,-169.9187,73.29,94,100,2.3
101,Palmer,US,2022-04-27 06:05:44,42.1584,-72.3287,52.63,86,100,1.01
102,Norden,DE,2022-04-27 06:05:45,53.6,7.2,46.94,68,74,4.99
103,Kankon,IN,2022-04-27 06:05:45,15.0167,74.0167,89.51,60,35,7.65
104,Marsh Harbour,BS,2022-04-27 06:05:45,26.5412,-77.0636,73.31,73,0,7.38
105,Sagua De Tanamo,CU,2022-04-27 06:05:46,20.5819,-75.2414,74.55,73,59,8.84
106,Hede,CN,2022-04-27 06:05:46,33.7681,120.2517,63.5,39,81,15.95
107,Muros,ES,2022-04-27 06:05:47,42.7762,-9.0603,52.84,96,33,6.8
108,Chumikan,RU,2022-04-27 06:05:47,54.7183,135.315,32.23,87,100,4.18
109,Road Town,VG,2022-04-27 06:05:47,18.4167,-64.6167,75.29,72,69,16.04
110,Namatanai,PG,2022-04-27 06:05:48,-3.6667,152.4333,85.08,71,12,11.14
111,Narsaq,GL,2022-04-27 06:05:48,60.9167,-46.05,39.42,85,100,3.69
112,East London,ZA,2022-04-27 06:01:10,-33.0153,27.9116,56.34,100,75,9.22
113,Acapulco,MX,2022-04-27 06:00:54,16.8634,-99.8901,78.98,67,9,5.3
114,Marzuq,YE,2022-04-27 06:05:49,14.4,46.4667,80.64,38,97,1.72
115,Antofagasta,CL,2022-04-27 06:05:27,-23.65,-70.4,62.04,80,100,7.61
116,Mahebourg,MU,2022-04-27 06:05:49,-20.4081,57.7,80.26,73,29,9.08
117,Goderich,CA,2022-04-27 06:05:49,43.7501,-81.7165,34.92,71,98,17.85
118,Mar Del Plata,AR,2022-04-27 06:05:50,-38.0023,-57.5575,62.87,99,100,10.0
119,Adrar,MR,2022-04-27 06:05:50,20.5022,-10.0711,65.44,44,0,11.77
120,Beyneu,KZ,2022-04-27 06:05:50,45.3167,55.2,68.94,34,53,18.45
121,Larap,PH,2022-04-27 06:05:51,14.299,122.6504,84.87,76,37,9.86
122,Panzhihua,CN,2022-04-27 06:05:51,26.5851,101.7128,93.29,17,1,0.98
123,Kars,TR,2022-04-27 06:05:52,40.602,43.095,57.65,54,20,4.61
124,Mount Gambier,AU,2022-04-27 06:05:52,-37.8333,140.7667,63.37,70,91,7.56
125,Purpe,RU,2022-04-27 06:05:53,64.4803,76.6897,34.11,97,100,25.88
126,Scottsbluff,US,2022-04-27 06:05:54,41.8666,-103.6672,56.79,36,0,9.22
127,Ilulissat,GL,2022-04-27 06:05:54,69.2167,-51.1,37.42,65,100,10.36
128,Kadirli,TR,2022-04-27 06:05:54,37.3739,36.0961,73.54,40,13,1.05
129,Vestmannaeyjar,IS,2022-04-27 06:05:55,63.4427,-20.2734,45.25,78,97,3.06
130,Bereda,ES,2022-04-27 06:05:55,43.2686,-7.5406,46.58,100,25,1.5
131,Batemans Bay,AU,2022-04-27 06:05:56,-35.7167,150.1833,67.1,91,100,4.76
132,Nantucket,US,2022-04-27 06:01:41,41.2835,-70.0995,55.45,94,100,11.5
133,Mandalgovi,MN,2022-04-27 06:02:45,45.7625,106.2708,48.94,19,33,12.24
134,Corralillo,CU,2022-04-27 06:05:56,22.9819,-80.5856,74.55,70,1,12.3
135,Clyde River,CA,2022-04-27 06:05:56,70.4692,-68.5914,-3.77,84,0,5.75
136,Ngunguru,NZ,2022-04-27 06:03:59,-35.6167,174.5,63.59,67,39,7.47
137,Ponta Do Sol,PT,2022-04-27 06:06:57,32.6667,-17.1,61.43,63,2,1.81
138,Klaksvik,FO,2022-04-27 06:06:57,62.2266,-6.589,40.12,66,92,7.92
139,Bluff,NZ,2022-04-27 06:06:58,-46.6,168.3333,53.8,71,29,6.33
140,Saint-Georges,GD,2022-04-27 06:03:20,12.0564,-61.7485,77.2,87,92,9.53
141,Sambava,MG,2022-04-27 06:06:58,-14.2667,50.1667,79.32,66,63,3.78
142,Gavle,SE,2022-04-27 06:06:59,60.6745,17.1417,37.92,62,97,1.99
143,Soldotna,US,2022-04-27 06:06:59,60.4878,-151.0583,45.95,59,0,4.61
144,Shubarshi,KZ,2022-04-27 06:06:59,48.5872,57.1869,66.2,32,9,11.48
145,Norman Wells,CA,2022-04-27 06:07:00,65.282,-126.8329,32.79,96,100,5.26
146,Crib Point,AU,2022-04-27 06:07:00,-38.35,145.2,69.04,74,100,1.92
147,Marawi,PH,2022-04-27 06:07:00,7.9986,124.2928,78.06,85,85,4.14
148,Atikokan,CA,2022-04-27 06:07:01,48.7555,-91.6216,14.97,98,94,3.33
149,Upernavik,GL,2022-04-27 06:07:01,72.7868,-56.1549,27.93,74,100,8.52
150,Tual,ID,2022-04-27 06:07:01,-5.6667,132.75,84.63,73,73,8.55
151,Oranjemund,NA,2022-04-27 06:07:02,-28.55,16.4333,64.02,33,0,8.21
152,Vestmanna,FO,2022-04-27 06:07:02,62.1564,-7.1664,38.32,87,100,2.3
153,Imeni Poliny Osipenko,RU,2022-04-27 06:07:03,52.4201,136.4853,31.55,89,100,20.89
154,Hithadhoo,MV,2022-04-27 06:07:03,-0.6,73.0833,84.43,72,71,4.61
155,Faanui,PF,2022-04-27 06:07:04,-16.4833,-151.75,83.08,68,38,19.06
156,Sabang,ID,2022-04-27 06:07:04,5.8933,95.3214,83.84,77,100,10.25
157,George,ZA,2022-04-27 06:07:04,-33.963,22.4617,56.23,66,0,3.58
158,Nikolskoye,RU,2022-04-27 06:07:05,59.7035,30.7861,37.87,76,69,5.28
159,Ust-Ilimsk,RU,2022-04-27 06:07:06,58.0006,102.6619,37.27,74,100,10.0
160,Lavrentiya,RU,2022-04-27 06:07:07,65.5833,-171.0,20.21,92,55,2.28
