WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Mount Isa,AU,-20.7333,139.5,67.77,34,0,16.11,clear sky
219,Gizo,SB,-8.103,156.8419,84.9,70,94,5.99,overcast clouds
220,Dong Hoi,VN,17.4833,106.6,76.66,92,97,4.9,overcast clouds
221,Victoria,HK,22.2855,114.1577,78.33,81,100,5.01,light rain
222,Berbera,SO,10.4396,45.0143,85.73,66,44,2.19,scattered clouds
223,Malayal,PH,7.208,121.942,85.8,68,75,2.71,broken clouds
224,Nantucket,US,41.2835,-70.0995,53.65,90,100,4.61,light rain
225,Te Anau,NZ,-45.4167,167.7167,60.76,75,100,5.3,light rain
226,Shimoda,JP,34.6667,138.95,62.96,83,91,12.44,overcast clouds
227,Krasnoturansk,RU,54.3186,91.5639,50.04,52,71,7.11,broken clouds
228,Zaraza,VE,9.3503,-65.3245,78.33,67,100,2.44,overcast clouds
229,Ribeira Grande,PT,38.5167,-28.7,61.41,65,48,3.89,scattered clouds
230,Laguna,US,38.421,-121.4238,78.46,54,0,12.66,clear sky
231,Palmer,US,42.1584,-72.3287,57.81,61,100,6.91,overcast clouds
232,Kavieng,PG,-2.5744,150.7967,85.14,70,93,14.97,overcast clouds
233,Adrar,MR,20.5022,-10.0711,83.32,14,1,9.01,clear sky
234,Luebo,CD,-5.35,21.4167,73.54,70,100,0.65,overcast clouds
235,Minsk,BY,53.9,27.5667,53.35,86,100,9.62,overcast clouds
236,Belyy Yar,RU,53.6039,91.3903,49.89,60,0,4.47,clear sky
237,Esperance,AU,-33.8667,121.9,56.25,73,0,12.44,clear sky
238,Uruzgan,AF,32.8333,66.0,66.76,22,2,6.29,clear sky
239,Lhokseumawe,ID,5.1801,97.1507,78.48,86,100,2.98,light rain
240,Chapais,CA,49.7834,-74.8492,37.18,64,33,6.67,scattered clouds
241,Araripina,BR,-7.5761,-40.4983,72.18,47,11,4.07,few clouds
242,Chengde,CN,40.9725,117.9361,53.4,16,63,5.66,broken clouds
243,Dokri,PK,27.3743,68.0967,89.94,23,0,8.34,clear sky
244,Faanui,PF,-16.4833,-151.75,81.75,72,2,3.2,clear sky
245,Narsaq,GL,60.9167,-46.05,37.62,98,100,3.69,overcast clouds
246,Ifakara,TZ,-8.1333,36.6833,71.37,88,99,0.22,overcast clouds
247,Bima,ID,-8.4667,118.7167,81.54,82,67,2.46,broken clouds
248,Saint George,US,37.1041,-113.5841,92.95,10,0,9.22,clear sky
249,Laela,TZ,-8.5667,32.05,56.53,94,67,3.15,broken clouds
250,Khilok,RU,51.3674,110.4676,46.83,22,81,4.63,broken clouds
251,College,US,64.8569,-147.8028,51.75,66,75,11.5,broken clouds
252,Pochutla,MX,15.7432,-96.4661,84.02,50,1,6.08,clear sky
253,Harper,LR,4.375,-7.7169,81.46,82,93,9.22,overcast clouds
254,Aromashevo,RU,56.8602,68.6375,31.93,74,33,13.51,scattered clouds
255,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,73,75,10.36,broken clouds
256,La Solana,ES,38.9442,-3.2381,53.83,50,1,7.58,clear sky
257,Qaanaaq,GL,77.484,-69.3632,15.55,86,100,5.23,overcast clouds
258,Douglas,US,41.3,-96.167,66.38,66,100,4.61,overcast clouds
259,Bowen,AU,-20.0167,148.2333,78.8,75,85,10.13,overcast clouds
260,Kaohsiung,TW,22.6163,120.3133,82.35,75,75,3.44,broken clouds
261,Khatanga,RU,71.9667,102.5,12.15,89,99,18.88,overcast clouds
262,Kungurtug,RU,50.5994,97.5228,45.81,55,11,0.54,few clouds
263,Moron,AR,-34.6534,-58.6198,65.95,90,0,3.94,clear sky
264,Rosa Zarate,EC,0.3333,-79.4667,75.79,90,77,3.33,light rain
265,Novoagansk,RU,61.9449,76.6625,21.42,93,100,32.68,snow
266,Skagen,DK,57.7209,10.5839,50.38,94,96,22.7,overcast clouds
267,Eureka,US,40.8021,-124.1637,59.67,82,100,8.99,overcast clouds
268,Rawson,AR,-43.3002,-65.1023,60.3,61,93,20.65,overcast clouds
269,Barra Patuca,HN,15.8,-84.2833,80.55,83,76,13.18,broken clouds
270,Kulhudhuffushi,MV,6.6221,73.07,83.66,74,61,10.07,broken clouds
271,Steubenville,US,40.3698,-80.634,56.64,92,100,8.01,overcast clouds
272,Inverness,GB,57.4791,-4.224,49.78,78,100,3.44,overcast clouds
273,Natal,BR,-5.795,-35.2094,77.65,94,75,10.36,broken clouds
274,Ketchikan,US,55.3422,-131.6461,48.67,66,40,6.91,scattered clouds
275,Bukachacha,RU,52.9833,116.9167,48.33,24,88,2.73,overcast clouds
276,Naze,JP,28.3667,129.4833,74.32,80,98,10.83,overcast clouds
277,Tuyen Quang,VN,21.8233,105.2181,73.9,79,100,1.36,overcast clouds
278,Goderich,CA,43.7501,-81.7165,61.12,41,81,11.5,broken clouds
279,Nikolskoye,RU,59.7035,30.7861,50.81,95,21,5.37,few clouds
280,Hithadhoo,MV,-0.6,73.0833,82.8,77,61,14.88,broken clouds
281,Ulladulla,AU,-35.35,150.4667,56.77,50,90,11.34,overcast clouds
282,Portland,US,45.5234,-122.6762,60.53,84,87,8.01,moderate rain
283,Brokopondo,SR,4.75,-55.1667,75.6,90,58,11.52,broken clouds
284,Penuelas,PR,18.0564,-66.7216,79.92,82,69,4.81,broken clouds
285,Port Hedland,AU,-20.3167,118.5667,77.05,41,2,20.71,clear sky
286,Padang,ID,-0.9492,100.3543,75.25,90,100,2.75,moderate rain
287,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,11.5,scattered clouds
