City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Honiara,SB,87.53,clear sky,-9.4333,159.95,Heritage Park Hotel
441,Gigmoto,PH,84.31,scattered clouds,13.7796,124.39,Cj's Travellers Inn
443,Eydhafushi,MV,84.29,broken clouds,5.1033,73.0708,Soneva Fushi
444,Canton,CN,76.95,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
451,Puebloviejo,CO,82.58,overcast clouds,10.9938,-74.2844,The Journey Hostel
453,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
454,Stephenville,US,88.59,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
459,Isangel,VU,80.17,broken clouds,-19.55,169.2667,Tanna Lodge
462,Wilmington Island,US,79.99,broken clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
467,Lucea,JM,82.26,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
468,Hervey Bay,AU,75.87,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
469,Porto Novo,BJ,75.18,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
481,Palauig,PH,86.02,few clouds,15.435,119.9045,Alperi Botique Resort
483,Statesboro,US,76.53,scattered clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
487,Biltine,TD,87.66,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
488,San-Pedro,CI,80.35,light rain,4.7485,-6.6363,Hotel Maria
489,Payyannur,IN,76.64,broken clouds,12.1,75.2,Kavvayi Beach House
490,Kirakira,SB,85.33,scattered clouds,-10.4544,161.9205,SanBiz Lodge
492,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
493,Yaan,NG,76.21,overcast clouds,7.3833,8.5667,
498,Kontagora,NG,82.13,overcast clouds,10.3999,5.4695,Queens Guest Inn
499,Tabas,IR,79.18,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
